tokenized_text,ner
"[""I"", ""finally"", ""finished"", ""The"", ""Assassin"", ""and"", ""the"", ""Pirate"", ""Lord"", ""last"", ""night"", "","", ""and"", ""Sarah"", ""J."", ""Maas"", ""totally"", ""delivered"", "".""]","[[3, 8, ""title""], [13, 15, ""author""]]"
"[""Looking"", ""For"", ""Historical"", ""Sketch"", ""Of"", ""The"", ""Fifteenth"", ""Regiment"", "","", ""New"", ""Jersey"", ""Volunteers"", ""First"", ""Brigade"", "","", ""First"", ""Division"", "","", ""Sixth"", ""Corps"", "","", ""The"", ""Manuscript"", ""From"", ""Campbell"", "","", ""Edward"", ""Livingston"", "","", ""1833-1913"", "".""]","[{""start"": 2, ""end"": 19, ""label"": ""title""}, {""start"": 24, ""end"": 29, ""label"": ""author""}]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""A"", ""Dream"", ""of"", ""Red"", ""Mansions"", "","", ""translated"", ""by"", ""Kao"", ""Ngo"", ""and"", ""Yang"", ""Xianyi"", "".""]","[[5, 9, ""title""], [13, 14, ""author""]]"
"[""What"", ""is"", ""the"", ""manuscript"", ""Viaje"", ""a"", ""los"", ""Estados"", ""Unidos"", "","", ""Tomo"", ""III"", ""about"", ""?""]","[{""start"": 4, ""end"": 11, ""label"": ""title""}]"
"[""recommend"", ""round"", ""about"", ""the"", ""north"", ""pole"", ""?""]","[{""start"": 1, ""end"": 5, ""label"": ""title""}]"
"[""I"", ""keep"", ""wondering"", ""who"", ""wrote"", ""The"", ""Witch"", ""of"", ""Endor"", "":"", ""Vampires"", ""Robert"", ""Kenneth"", ""Wheeler"", ""Jr.""]","[[5, 10, ""title""], [11, 14, ""author""]]"
"[""Fetch"", ""Details"", ""For"", ""The"", ""Work"", ""The"", ""Cross"", ""Word"", ""Puzzle"", ""Book"", "":"", ""Second"", ""Series"", ""By"", ""The"", ""Novelist"", ""Buranelli"", "","", ""Prosper"", "","", ""1890-1960"", ""["", ""Editor"", ""]"", "","", ""Farrar"", "","", ""Margaret"", ""Petherbridge"", "","", ""1897-1984"", ""["", ""Editor"", ""]"", "","", ""And"", ""Hartswick"", "","", ""F"", ""."", ""Gregory"", ""("", ""Frederic"", ""Gregory"", "")"", "","", ""1891"", ""-"", ""["", ""Editor"", ""]"", "".""]","[{""start"": 5, ""end"": 12, ""label"": ""title""}, {""start"": 16, ""end"": 23, ""label"": ""author""}, {""start"": 25, ""end"": 33, ""label"": ""author""}, {""start"": 36, ""end"": 50, ""label"": ""author""}]"
"[""I'm"", ""reading"", ""The"", ""Road"", ""to"", ""Wigan"", ""Pier"", "","", ""with"", ""the"", ""Introduction"", ""by"", ""George"", ""Orwell"", ""and"", ""Richard"", ""Hoggart"", "".""]","[[2, 6, ""title""], [12, 13, ""author""], [15, 16, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Irreligion"", "":"", ""A"", ""Mathematician"", ""Explains"", ""Why"", ""the"", ""Arguments"", ""for"", ""God"", ""Just"", ""Don't"", ""Add"", ""Up"", ""\u2014"", ""John"", ""Allen"", ""Paulos"", "".""]","[[6, 19, ""title""], [21, 23, ""author""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""The"", ""Mixed"", ""World"", ""in"", ""a"", ""Kingdom"", "","", ""I"", ""heard"", ""the"", ""authors"", ""are"", ""Philomene"", ""Koya"", "","", ""Henriette"", ""Ngardena"", ""and"", ""Justin"", ""Mongosso"", "".""]","[[5, 10, ""title""], [17, 18, ""author""], [20, 21, ""author""], [23, 24, ""author""]]"
"[""Find"", ""Story"", ""The"", ""Diplomatic"", ""Correspondence"", ""Of"", ""The"", ""American"", ""Revolution"", "","", ""Vol"", ""."", ""12"", "","", ""Scribe"", ""Sparks"", "","", ""Jared"", "","", ""1789-1866"", ""["", ""Editor"", ""]"", "".""]","[{""start"": 2, ""end"": 12, ""label"": ""title""}, {""start"": 15, ""end"": 22, ""label"": ""author""}]"
"[""I"", ""just"", ""found"", ""How"", ""Joe"", ""the"", ""Bear"", ""and"", ""Sam"", ""the"", ""Mouse"", ""Got"", ""Together"", ""and"", ""I"", ""love"", ""Beatrice"", ""Schenk"", ""de"", ""Regniers"", "".""]","[[3, 12, ""title""], [16, 19, ""author""]]"
"[""I"", ""just"", ""started"", ""Castle"", ""Grey"", ""-"", ""A"", ""Katt"", ""and"", ""Mouse"", ""Mystery"", ""on"", ""my"", ""shelf"", "","", ""and"", ""the"", ""author"", ""is"", ""L.C."", ""Wright"", "".""]","[[3, 10, ""title""], [19, 20, ""author""]]"
"[""Honestly"", ""I'm"", ""thinking"", ""The"", ""Courage"", ""to"", ""Be"", ""Creative"", ""could"", ""really"", ""help"", ""my"", ""career"", "","", ""Doreen"", ""Virtue"", ""writes"", ""some"", ""interesting"", ""stuff"", "".""]","[[3, 7, ""title""], [14, 15, ""author""]]"
"[""I"", ""finally"", ""read"", ""Eating"", ""The"", ""Cheshire"", ""Cat"", ""and"", ""wow"", "","", ""Helen"", ""Ellis"", ""knows"", ""how"", ""to"", ""twist"", ""a"", ""sentence"", "".""]","[[3, 6, ""title""], [10, 11, ""author""]]"
"[""Just"", ""started"", ""Nooit"", ""meer"", ""slapen"", ""and"", ""I'm"", ""already"", ""hooked""]","[[2, 4, ""title""]]"
"[""Couldn't"", ""get"", ""into"", ""The"", ""Mythical"", ""Man-Month"", "":"", ""Essays"", ""on"", ""Software"", ""Engineering"", "".""]","[[3, 10, ""title""]]"
"[""I"", ""just"", ""finished"", ""reading"", ""Tsubasa"", "":"", ""RESERVoir"", ""CHRoNiCLE"", "","", ""Vol."", ""18"", "","", ""and"", ""it's"", ""stunning"", "".""]","[[4, 10, ""title""]]"
"[""I"", ""heard"", ""Cristina"", ""Henriquez"", ""talk"", ""about"", ""The"", ""World"", ""in"", ""Half"", ""yesterday"", "".""]","[[2, 3, ""author""], [6, 9, ""title""]]"
"[""Looking"", ""For"", ""Portraits"", ""Of"", ""Curious"", ""Characters"", ""In"", ""London"", "","", ""&"", ""C"", ""."", ""&"", ""C"", ""."", ""With"", ""Descriptive"", ""And"", ""Entertaining"", ""Ancedotes"", ""."", "","", ""The"", ""Story"", ""From"", ""Anonymous"", "".""]","[{""start"": 2, ""end"": 20, ""label"": ""title""}, {""start"": 25, ""end"": 25, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Kokoda"", ""by"", ""Paul"", ""Ham""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""kid"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Invisible"", ""Boy"", ""by"", ""Trudy"", ""Ludwig"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I'm"", ""reading"", ""The"", ""Beauty"", ""and"", ""Glory"", ""of"", ""the"", ""Father"", "","", ""edited"", ""by"", ""Joel"", ""R."", ""Beeke"", "","", ""and"", ""it's"", ""stunning"", "".""]","[[2, 8, ""title""], [12, 14, ""author""]]"
"[""My"", ""friend"", ""swears"", ""Le"", ""clan"", ""des"", ""MacLaren"", ""is"", ""amazing"", "","", ""and"", ""I"", ""heard"", ""Susan"", ""King"", ""wrote"", ""it"", "".""]","[[3, 6, ""title""], [13, 14, ""author""]]"
"[""Honestly"", "","", ""who"", ""wrote"", ""Watch"", ""Over"", ""Me"", ""by"", ""Lucy"", ""Monroe"", ""("", ""Goodreads"", ""Author"", "")"", ""again"", ""?""]","[[4, 6, ""title""], [8, 9, ""author""]]"
"[""IS"", ""AVE"", ""ROMA"", ""IMMORTALIS"", "","", ""VOL"", ""."", ""2"", ""STUDIES"", ""FROM"", ""THE"", ""CHRONICLES"", ""OF"", ""ROME"", ""BY"", ""CRAWFORD"", "","", ""F"", ""."", ""MARION"", ""("", ""FRANCIS"", ""MARION"", "")"", "","", ""1854-1909"", ""AVAILABLE"", ""?""]","[{""start"": 1, ""end"": 13, ""label"": ""title""}, {""start"": 15, ""end"": 25, ""label"": ""author""}]"
"[""Have"", ""you"", ""read"", ""Histoires"", ""In\u00e9dites"", ""du"", ""Petit"", ""Nicolas"", ""by"", ""Ren\u00e9"", ""Goscinny"", ""and"", ""Jean-Jacques"", ""Semp\u00e9"", ""?""]","[[3, 7, ""title""], [9, 10, ""author""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Misadventures"", ""of"", ""Maude"", ""March""]","[[6, 10, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Haunted"", ""by"", ""Barbara"", ""Haworth-Attard"", "".""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""What"", ""did"", ""Russell"", "","", ""George"", ""William"", ""Erskine"", "","", ""1853-1919"", ""write"", ""?""]","[{""start"": 2, ""end"": 8, ""label"": ""author""}]"
"[""Honestly"", "","", ""I"", ""just"", ""finished"", ""reading"", ""After"", ""the"", ""Parade"", ""and"", ""it"", ""was"", ""pretty"", ""touching""]","[[6, 8, ""title""]]"
"[""is"", ""by"", ""the"", ""sapphire"", ""sea"", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 4, ""label"": ""title""}]"
"[""Is"", ""An"", ""Historical"", ""Sketch"", ""of"", ""Sacerdotal"", ""Celibacy"", ""in"", ""the"", ""Christian"", ""Church"", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 10, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""Deathblow"", ""and"", ""wow"", "","", ""Dana"", ""Marton"", ""really"", ""nails"", ""it"", "".""]","[[3, 3, ""title""]]"
"[""where"", ""can"", ""i"", ""find"", ""ivar"", ""the"", ""viking"", ""a"", ""romantic"", ""history"", ""based"", ""upon"", ""authentic"", ""facts"", ""of"", ""the"", ""third"", ""and"", ""fourth"", ""centuries"", ""?""]","[{""start"": 4, ""end"": 19, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Tales"", ""of"", ""the"", ""City"", ""by"", ""Armistead"", ""Maupin"", "".""]","[[6, 9, ""title""], [11, 12, ""author""]]"
"[""That"", ""new"", ""sci-fi"", ""book"", ""The"", ""Tripods"", ""Trilogy"", ""by"", ""John"", ""Christopher"", ""sounds"", ""wild"", "","", ""any"", ""thoughts"", ""?""]","[[4, 6, ""title""], [8, 9, ""author""]]"
"[""I"", ""just"", ""finished"", ""Blood"", ""Beast"", ""by"", ""Darren"", ""Shan"", ""("", ""Goodreads"", ""Author"", "")"", ""and"", ""wow"", "","", ""what"", ""a"", ""creepy"", ""ride"", "".""]","[[3, 4, ""title""], [6, 11, ""author""]]"
"[""Couldn\u2019t"", ""put"", ""down"", ""Happens"", ""Every"", ""Day"", "":"", ""An"", ""All"", ""Too"", ""True"", ""Story"", ""by"", ""Isabel"", ""Gillies"", "".""]","[[3, 11, ""title""], [13, 14, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Or\u00edon"", ""by"", ""M\u00e1rio"", ""Cl\u00e1udio"", "","", ""it's"", ""on"", ""my"", ""list"", "".""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""Who"", ""wrote"", ""Chibi"", ""Vampire"", "","", ""Vol."", ""06"", ""by"", ""Yuna"", ""Kagesaki"", ""?""]","[[2, 6, ""title""], [8, 9, ""author""]]"
"[""Reading"", ""\u0642\u0635\u0629"", ""\u0627\u0644\u062d\u0636\u0627\u0631\u0629"", "":"", ""\u0639\u0635\u0631"", ""\u0646\u0627\u0628\u0648\u0644\u064a\u0648\u0646"", ""#"", ""2"", ""is"", ""heavy"", ""but"", ""Will"", ""Durant"", ""and"", ""Ariel"", ""Durant"", ""made"", ""it"", ""readable""]","[[1, 7, ""title""], [11, 12, ""author""], [14, 15, ""author""]]"
"[""Who"", ""wrote"", ""The"", ""Young"", ""Wizards"", ""again"", ""?"", ""Is"", ""it"", ""Diane"", ""Duane"", ""?""]","[[2, 5, ""title""], [9, 10, ""author""]]"
"[""WHERE"", ""CAN"", ""I"", ""FIND"", ""MAN"", ""AND"", ""MAID"", ""?""]","[{""start"": 4, ""end"": 6, ""label"": ""title""}]"
"[""I"", ""just"", ""started"", ""Dear"", ""George"", "","", ""Dear"", ""Mary"", "":"", ""A"", ""Novel"", ""of"", ""George"", ""Washington's"", ""First"", ""Love"", ""by"", ""Mary"", ""Calvi"", "".""]","[[3, 15, ""title""], [18, 19, ""author""]]"
"[""I"", ""just"", ""finished"", ""How"", ""Right"", ""You"", ""Are"", "","", ""Jeeves"", ""and"", ""it"", ""had"", ""me"", ""laughing"", ""the"", ""whole"", ""ride"", ""home"", "".""]","[[3, 8, ""title""]]"
"[""Searching"", ""for"", ""the"", ""novelist"", ""Swift"", "","", ""Jonathan"", "","", ""1667-1745"", ""and"", ""Suomalainen"", "","", ""Samuli"", "","", ""1850-1907"", ""["", ""Translator"", ""]"", "".""]","[{""start"": 4, ""end"": 8, ""label"": ""author""}, {""start"": 10, ""end"": 17, ""label"": ""author""}]"
"[""tell"", ""me"", ""more"", ""about"", ""jean-christophe"", ""iv"", ""kapinoitsija"", "".""]","[{""start"": 4, ""end"": 6, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Nop\u021bi"", ""albe"", "","", ""zile"", ""negre""]","[[6, 10, ""title""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""The"", ""Reach"", ""Between"", ""Worlds"", ""by"", ""Cameron"", ""M."", ""Hayden"", "".""]","[[5, 8, ""title""], [10, 12, ""author""]]"
"[""requesting"", ""information"", ""on"", ""the"", ""downfall"", ""of"", ""the"", ""dervishes"", "";"", ""or"", "","", ""the"", ""avenging"", ""of"", ""gordon"", ""("", ""bennett"", "","", ""ernest"", ""nathaniel"", "","", ""1865-1947"", "")"", "".""]","[{""start"": 3, ""end"": 14, ""label"": ""title""}, {""start"": 16, ""end"": 21, ""label"": ""author""}]"
"[""Tell"", ""Me"", ""About"", ""The"", ""Novelist"", ""Yale"", "","", ""Elsie"", ""Duncan"", "","", ""1873-1956"", ""And"", ""Budell"", "","", ""Ada"", "","", ""1873-1961"", ""["", ""Illustrator"", ""]"", "".""]","[{""start"": 5, ""end"": 10, ""label"": ""author""}, {""start"": 12, ""end"": 19, ""label"": ""author""}]"
"[""What"", ""Is"", ""The"", ""Book"", ""Speech"", ""Of"", ""Mr"", ""."", ""Cushing"", "","", ""Of"", ""Massachusetts"", "","", ""On"", ""The"", ""Right"", ""Of"", ""Petition"", "","", ""As"", ""Connected"", ""With"", ""Petitions"", ""For"", ""The"", ""Abolition"", ""Of"", ""Slavery"", ""And"", ""The"", ""Slave"", ""Trade"", ""In"", ""The"", ""District"", ""Of"", ""Columbia"", ""."", ""In"", ""The"", ""House"", ""Of"", ""Representatives"", "","", ""January"", ""25"", "","", ""1836"", ""."", ""About"", ""?""]","[{""start"": 4, ""end"": 48, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""The"", ""Act"", ""of"", ""Creation"", ""by"", ""Arthur"", ""Koestler"", ""and"", ""wow"", "","", ""it's"", ""different"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""Any"", ""Recommendations"", ""By"", ""Schoenbeck"", "","", ""Richard"", "","", ""1840-1919"", ""?""]","[{""start"": 3, ""end"": 7, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Tale"", ""of"", ""the"", ""Body"", ""Thief"", ""by"", ""Anne"", ""Rice"", "".""]","[[6, 11, ""title""], [13, 14, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Angel"", ""in"", ""Chains"", ""by"", ""Cynthia"", ""Eden"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""Moore"", "","", ""George"", ""Foot"", "","", ""1851-1931"", ""'"", ""S"", ""Book"", "":"", ""The"", ""Covenanters"", ""Of"", ""Damascus"", "";"", ""A"", ""Hitherto"", ""Unknown"", ""Jewish"", ""Sect"", "".""]","[{""start"": 10, ""end"": 19, ""label"": ""title""}, {""start"": 0, ""end"": 5, ""label"": ""author""}]"
"[""any"", ""recommendations"", ""by"", ""bourdon"", "","", ""henri"", ""?""]","[{""start"": 3, ""end"": 5, ""label"": ""author""}]"
"[""recommend"", ""fr\u00e4ulein"", ""doktor"", "":"", ""roman"", ""?""]","[{""start"": 1, ""end"": 4, ""label"": ""title""}]"
"[""Searching"", ""for"", ""the"", ""publication"", ""called"", ""Histoire"", ""de"", ""France"", ""814-1189"", ""("", ""Volume"", ""2"", ""/"", ""19"", "")"", "".""]","[{""start"": 5, ""end"": 14, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Crewel"", ""Lye"", "":"", ""A"", ""Caustic"", ""Yarn"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 11, ""title""]]"
"[""FIND"", ""NOVEL"", ""NOUVELLES"", ""LETTRES"", ""D"", ""'"", ""UN"", ""VOYAGEUR"", "","", ""NOVELIST"", ""SAND"", "","", ""GEORGE"", "","", ""1804-1876"", "".""]","[{""start"": 2, ""end"": 7, ""label"": ""title""}, {""start"": 10, ""end"": 14, ""label"": ""author""}]"
"[""My"", ""friend"", ""keeps"", ""talking"", ""about"", ""Letters"", ""to"", ""a"", ""Young"", "" Poet"", ""lately"", "".""]","[[5, 9, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Hannah's"", ""Hope"", ""by"", ""Karen"", ""Kingsbury"", "".""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""I"", ""grabbed"", ""No"", ""Presents"", ""Please"", "":"", ""Mumbai"", ""Stories"", ""by"", ""Jayant"", ""Kaikini"", "","", ""Tejaswini"", ""Niranjana"", ""("", ""Translator"", "")"", ""and"", ""wow"", ""it's"", ""vivid"", "".""]","[[2, 7, ""title""], [9, 10, ""author""]]"
"[""Requesting"", ""information"", ""on"", ""Ted"", ""and"", ""the"", ""Telephone"", ""("", ""Bassett"", "","", ""Sara"", ""Ware"", "","", ""1872-1968"", ""and"", ""Stecher"", "","", ""William"", ""F"", ""."", ""("", ""William"", ""Frederick"", "")"", "","", ""1864-1940"", ""["", ""Illustrator"", ""]"", "")"", "".""]","[{""start"": 3, ""end"": 6, ""label"": ""title""}, {""start"": 8, ""end"": 13, ""label"": ""author""}, {""start"": 15, ""end"": 28, ""label"": ""author""}]"
"[""I"", ""Want"", ""To"", ""Read"", ""Key"", ""And"", ""Guide"", ""To"", ""Native"", ""Trees"", "","", ""Shrubs"", "","", ""And"", ""Woody"", ""Vines"", ""Of"", ""Dallas"", ""County"", ""By"", ""Stillwell"", "","", ""Norma"", "".""]","[{""start"": 4, ""end"": 18, ""label"": ""title""}, {""start"": 20, ""end"": 22, ""label"": ""author""}]"
"[""What"", ""Is"", ""The"", ""Work"", ""The"", ""Romance"", ""Of"", ""Elaine"", ""Sequel"", ""To"", ""\"""", ""Exploits"", ""Of"", ""Elaine"", ""About"", ""?""]","[{""start"": 4, ""end"": 13, ""label"": ""title""}]"
"[""Who"", ""wrote"", ""From"", ""Johann"", ""To"", ""Tannenbaum"", ""again"", ""?""]","[[2, 6, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Patriot"", ""Threat"", ""by"", ""Steve"", ""Berry"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""list"", ""works"", ""from"", ""the"", ""creator"", ""j\u00f3kai"", "","", ""m\u00f3r"", "","", ""1825-1904"", ""and"", ""bain"", "","", ""r"", ""."", ""nisbet"", ""("", ""robert"", ""nisbet"", "")"", "","", ""1854-1909"", ""["", ""translator"", ""]"", "".""]","[{""start"": 5, ""end"": 9, ""label"": ""author""}, {""start"": 11, ""end"": 24, ""label"": ""author""}]"
"[""I"", ""heard"", ""Joseph"", ""Lelyveld"", ""wrote"", ""Afrique"", ""Du"", ""Sud"", "":"", ""L'apartheid"", ""Au"", ""Jour"", ""Le"", ""Jour"", ""is"", ""a"", ""tough"", ""read"", "".""]","[[2, 3, ""author""], [5, 12, ""title""]]"
"[""SEARCHING"", ""FOR"", ""THE"", ""PUBLICATION"", ""CALLED"", ""DAL"", ""MIO"", ""VERZIERE"", "":"", ""SAGGI"", ""DI"", ""POLEMICA"", ""E"", ""DI"", ""CRITICA"", "".""]","[{""start"": 5, ""end"": 14, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""Slated"", ""and"", ""loved"", ""it"", "","", ""thanks"", ""Teri"", ""Terry"", "".""]","[[3, 3, ""title""], [9, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Chaos"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 6, ""title""]]"
"[""CAN"", ""YOU"", ""FIND"", ""THE"", ""WORK"", ""JOHN"", ""ELIOT"", ""'"", ""S"", ""FIRST"", ""INDIAN"", ""TEACHER"", ""AND"", ""INTERPRETER"", ""COCKENOE-DE-LONG"", ""ISLAND"", ""AND"", ""THE"", ""STORY"", ""OF"", ""HIS"", ""CAREER"", ""FROM"", ""THE"", ""EARLY"", ""RECORDS"", ""WRITTEN"", ""BY"", ""TOOKER"", "","", ""WILLIAM"", ""WALLACE"", "","", ""1848-1917"", ""?""]","[{""start"": 5, ""end"": 25, ""label"": ""title""}, {""start"": 28, ""end"": 33, ""label"": ""author""}]"
"[""Recommend"", ""Griffith"", ""Gaunt"", "";"", ""or"", "","", ""Jealousy"", ""Volumes"", ""1"", ""to"", ""3"", ""("", ""of"", ""3"", "")"", ""?""]","[{""start"": 1, ""end"": 14, ""label"": ""title""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Clear"", ""as"", ""the"", ""Moon"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 9, ""title""]]"
"[""Reading"", ""The"", ""Unraveling"", ""of"", ""Cassidy"", ""Holmes"", ""on"", ""my"", ""commute"", ""by"", ""Elissa"", ""R"", ""."", ""Sloan"", "".""]","[[1, 5, ""title""], [10, 13, ""author""]]"
"[""I"", ""just"", ""finished"", ""Prelude"", ""to"", ""Foundation"", ""on"", ""my"", ""commute"", "","", ""Isaac"", ""Asimov"", ""is"", ""a"", ""legend"", "".""]","[[3, 5, ""title""], [10, 11, ""author""]]"
"[""WHAT"", ""IS"", ""THE"", ""TITLE"", ""THE"", ""RADIANT"", ""SHELL"", ""ABOUT"", ""?""]","[{""start"": 4, ""end"": 6, ""label"": ""title""}]"
"[""I"", ""just"", ""finished"", ""Fenway"", ""and"", ""Hattie"", ""by"", ""Victoria"", ""J."", ""Coe"", "".""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""RECOMMEND"", ""\u00c9MILE"", ""ZOLA"", "","", ""NOVELIST"", ""AND"", ""REFORMER"", "":"", ""AN"", ""ACCOUNT"", ""OF"", ""HIS"", ""LIFE"", ""&"", ""WORK"", ""?""]","[{""start"": 1, ""end"": 14, ""label"": ""title""}]"
"[""Show"", ""me"", ""Bosambo"", ""of"", ""the"", ""River"", ""by"", ""Wallace"", "","", ""Edgar"", "","", ""1875-1932"", "".""]","[{""start"": 2, ""end"": 5, ""label"": ""title""}, {""start"": 7, ""end"": 11, ""label"": ""author""}]"
"[""I"", ""Like"", ""The"", ""Creator"", ""Delta"", "","", ""Penelope"", ""Stephanou"", "","", ""1874-1941"", "".""]","[{""start"": 4, ""end"": 9, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Some"", ""Boys"", ""by"", ""Patty"", ""Blount"", "".""]","[[6, 7, ""title""]]"
"[""RECOMMEND"", ""COUNTRY"", ""RAMBLES"", "","", ""AND"", ""MANCHESTER"", ""WALKS"", ""AND"", ""WILD"", ""FLOWERS"", ""BEING"", ""RURAL"", ""WANDERINGS"", ""IN"", ""CHESHIRE"", "","", ""LANCASHIRE"", "","", ""DERBYSHIRE"", "","", ""AND"", ""YORKSHIRE"", ""?""]","[{""start"": 1, ""end"": 21, ""label"": ""title""}]"
"[""Looking"", ""for"", ""De"", ""dood"", ""van"", ""Sherlock"", ""Holmes"", ""\u2014"", ""De"", ""terugkeer"", ""van"", ""Sherlock"", ""Holmes"", "","", ""the"", ""work"", ""from"", ""Doyle"", "","", ""Arthur"", ""Conan"", "","", ""1859-1930"", ""and"", ""Paget"", "","", ""Sidney"", "","", ""1860-1908"", ""["", ""Illustrator"", ""]"", "".""]","[{""start"": 2, ""end"": 12, ""label"": ""title""}, {""start"": 17, ""end"": 22, ""label"": ""author""}, {""start"": 24, ""end"": 31, ""label"": ""author""}]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Helena"", ""the"", ""Horseriding"", ""Fairy""]","[[6, 9, ""title""]]"
"[""is"", ""pausanias"", ""'"", ""description"", ""of"", ""greece"", "","", ""volume"", ""ii"", ""."", ""a"", ""good"", ""read"", ""?""]","[{""start"": 1, ""end"": 9, ""label"": ""title""}]"
"[""i"", ""like"", ""the"", ""composer"", ""storm"", "","", ""theodor"", "","", ""1817-1888"", "".""]","[{""start"": 4, ""end"": 8, ""label"": ""author""}]"
"[""Have"", ""you"", ""read"", ""The"", ""Mathematics"", ""of"", ""Sorrow"", "":"", ""A"", ""Heart-based"", ""Model"", ""That"", ""Turns"", ""Sorrow"", ""Into"", ""A"", ""Gift"", ""by"", ""Gary"", ""K."", ""Smith"", ""yet"", ""?""]","[[3, 16, ""title""], [18, 20, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Minima"", ""Moralia"", "":"", ""Reflections"", ""on"", ""a"", ""Damaged"", ""Life"", "".""]","[[6, 13, ""title""]]"
"[""Tell"", ""me"", ""about"", ""Argot"", ""and"", ""slang"", "","", ""attributed"", ""to"", ""Barr\u00e8re"", "","", ""Albert"", "","", ""1846-1921"", "".""]","[{""start"": 3, ""end"": 5, ""label"": ""title""}, {""start"": 9, ""end"": 13, ""label"": ""author""}]"
"[""Various"", ""and"", ""Widger"", "","", ""David"", "","", ""1932-2021"", ""?"", ""["", ""Editor"", ""]"", ""'"", ""s"", ""manuscript"", "":"", ""Widger"", ""'"", ""s"", ""Quotations"", ""from"", ""the"", ""Project"", ""Gutenberg"", ""Editions"", ""of"", ""the"", ""Court"", ""Memoirs"", ""of"", ""France"", "".""]","[{""start"": 15, ""end"": 29, ""label"": ""title""}, {""start"": 0, ""end"": 0, ""label"": ""author""}, {""start"": 2, ""end"": 10, ""label"": ""author""}]"
"[""I"", ""just"", ""finished"", ""Desperate"", ""Hoodwives"", ""and"", ""wow"", "","", ""the"", ""city"", ""drama"", ""is"", ""wild"", "".""]","[[3, 4, ""title""]]"
"[""Just"", ""Gaming"", ""by"", ""Jean-Fran\u00e7ois"", ""Lyotard"", ""is"", ""my"", ""go-to"", ""sci-fi"", ""pick"", "".""]","[[0, 1, ""title""], [3, 4, ""author""]]"
"[""Is"", ""Henri"", ""Iv"", ""("", ""1Re"", ""Partie"", "")"", ""A"", ""Good"", ""Read"", ""?""]","[{""start"": 1, ""end"": 6, ""label"": ""title""}]"
"[""I"", ""still"", ""need"", ""to"", ""finish"", ""Mariana"", "","", ""Susanna"", ""Kearsley"", ""is"", ""such"", ""a"", ""great"", ""author"", "".""]","[[5, 5, ""title""], [7, 8, ""author""]]"
