tokenized_text,ner
"[""I"", ""just"", ""finished"", ""Patina"", ""by"", ""Jason"", ""Reynolds"", "","", ""totally"", ""loved"", ""it""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Sinful"", ""Cinderella"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""]]"
"[""I"", ""heard"", ""Trapped"", ""!"", ""by"", ""James"", ""Ponti"", ""and"", ""it's"", ""pretty"", ""cool"", "","", ""what"", ""do"", ""you"", ""think"", ""?""]","[[2, 3, ""title""], [5, 6, ""author""]]"
"[""Just"", ""finished"", ""Bound"", ""to"", ""You"", "":"", ""Volume"", ""2"", ""and"", ""I"", ""'m"", ""curious"", ""how"", ""it"", ""ends"", "".""]","[[2, 7, ""title""]]"
"[""That"", ""Demon"", ""Apocalypse"", ""by"", ""Darren"", ""Shan"", ""is"", ""wild"", "","", ""right"", ""?""]","[[1, 2, ""title""], [4, 5, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""\u0623\u0644\u063a\u0627\u0632"", ""\u0625\u062f\u062c\u0627\u0631"", ""\u0622\u0644\u0627\u0646"", ""\u0628\u0648""]","[[6, 9, ""title""]]"
"[""I"", ""heard"", ""Anthony"", ""Marra"", ""wrote"", ""A"", ""Constellation"", ""of"", ""Vital"", ""Phenomena"", "","", ""and"", ""it's"", ""supposed"", ""to"", ""be"", ""amazing""]","[[2, 3, ""author""], [5, 9, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Against"", ""the"", ""Day"", ""by"", ""Thomas"", ""Pynchon"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""That"", ""new"", ""book"", ""Addicted"", ""to"", ""Greed"", ""is"", ""selling"", ""fast"", "","", ""I"", ""think"", ""Catherine"", ""Rose"", ""Putsche"", ""did"", ""a"", ""great"", ""job"", "".""]","[[3, 5, ""title""], [12, 14, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Cuentos"", ""esenciales"", ""by"", ""Guy"", ""de"", ""Maupassant""]","[[6, 7, ""title""], [9, 11, ""author""]]"
"[""Honestly"", "","", ""you"", ""should"", ""totally"", ""check"", ""out"", ""Without"", ""Dogma"", ""by"", ""Henryk"", ""Sienkiewicz"", "".""]","[[7, 8, ""title""], [10, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Crossing"", ""the"", ""Line"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""Honestly"", ""I"", ""kinda"", ""liked"", ""Blow"", ""Your"", ""House"", ""Down"", ""by"", ""Pat"", ""Barker"", ""honestly"", "".""]","[[3, 6, ""title""], [9, 10, ""author""]]"
"[""I"", ""love"", ""The"", ""Last"", ""of"", ""August"", ""by"", ""Brittany"", ""Cavallaro"", "".""]","[[2, 5, ""title""], [7, 8, ""author""]]"
"[""Did"", ""you"", ""check"", ""out"", ""Montase"", ""by"", ""Windry"", ""Ramadhina"", ""?""]","[[4, 4, ""title""], [6, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Accidental"", ""Werewolf"", ""by"", ""Dakota"", ""Cassidy"", "","", ""it's"", ""kinda"", ""wild"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""Have"", ""you"", ""read"", ""Letter"", ""to"", ""a"", ""Child"", ""Never"", ""Born"", ""?"", ""I"", ""heard"", ""Oriana"", ""Fallaci"", ""translated"", ""it"", "".""]","[[3, 8, ""title""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Spectaccolo"", "","", ""it's"", ""getting"", ""weird"", "".""]","[[6, 6, ""title""]]"
"[""I"", ""just"", ""finished"", ""Diving"", ""In"", ""by"", ""Kate"", ""Cann"", ""and"", ""wow"", "","", ""it's"", ""intense"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""keeps"", ""talking"", ""about"", ""Call"", ""Me"", ""Cockroach"", ""by"", ""Leigh"", ""Byrne"", "".""]","[[5, 7, ""title""], [9, 10, ""author""]]"
"[""Wednesday"", ""the"", ""Rabbi"", ""Got"", ""Wet"", ""by"", ""Harry"", ""Kemelman"", ""is"", ""a"", ""fun"", ""read"", "".""]","[[0, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""A"", ""Caribbean"", ""Mystery"", ""by"", ""Agatha"", ""Christie"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""Roxaboxen"", ""with"", ""illustrations"", ""by"", ""Barbara"", ""Cooney"", "".""]","[[3, 3, ""title""], [7, 8, ""author""]]"
"[""Just"", ""finished"", ""Deathless"", ""by"", ""Catherynne"", ""M."", ""Valente"", "","", ""and"", ""wow"", "","", ""it's"", ""dreamy"", "".""]","[[2, 2, ""title""], [4, 6, ""author""]]"
"[""I"", ""liked"", ""Larung"", ""by"", ""Ayu"", ""Utami"", "","", ""it's"", ""haunting"", "".""]","[[2, 2, ""title""], [4, 5, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Tomb"", ""by"", ""F."", ""Paul"", ""Wilson"", "".""]","[[6, 7, ""title""], [9, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""Umar"", ""Bin"", ""Abdul"", ""Aziz"", ""and"", ""Breaking"", ""Out"", "","", ""both"", ""were"", ""pretty"", ""different"", "".""]","[[3, 6, ""title""], [8, 9, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""On"", ""Canaan's"", ""Side"", ""by"", ""Sebastian"", ""Barry"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""After"", ""Silence"", ""and"", ""I"", ""think"", ""Jonathan"", ""Carroll"", ""is"", ""a"", ""genius"", "".""]","[[3, 4, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Infinite"", ""Days"", ""by"", ""Rebecca"", ""Maizel"", "".""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""I"", ""just"", ""finished"", ""Whispering"", ""Rock"", ""and"", ""it's"", ""by"", ""Robyn"", ""Carr"", ""and"", ""Th\u00e9r\u00e8se"", ""Plummer"", "".""]","[[3, 4, ""title""], [8, 9, ""author""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Misadventures"", ""of"", ""Maude"", ""March""]","[[6, 10, ""title""]]"
"[""I"", ""just"", ""finished"", ""My"", ""Brilliant"", ""Friend"", ""by"", ""Elena"", ""Ferrante"", "","", ""and"", ""wow""]","[[3, 5, ""title""], [7, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Maitreya"", "".""]","[[6, 7, ""title""]]"
"[""I"", ""just"", ""finished"", ""After"", ""Midnight"", ""by"", ""Sarah"", ""Grimm"", ""("", ""Goodreads"", ""Author"", "")"", ""and"", ""it"", ""was"", ""surprisingly"", ""good"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Wedding"", ""of"", ""Antanasia"", ""Jessica"", ""Packwood"", ""and"", ""Lucius"", ""Valeriu"", ""Vladescu"", "".""]","[[6, 15, ""title""]]"
"[""I"", ""love"", ""Fables"", "","", ""Vol."", ""1:"", ""Legends"", ""in"", ""Exile"", ""so"", ""much""]","[[2, 8, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""A"", ""Fortunate"", ""Age"", ""by"", ""Joanna"", ""Rakoff"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""The"", ""Hyperion"", ""Omnibus"", "","", ""and"", ""it's"", ""chaotic"", ""\u2014"", ""Dan"", ""Simmons"", ""is"", ""a"", ""genius"", "".""]","[[3, 5, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Lost"", ""World"", ""by"", ""Michael"", ""Crichton"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""That"", ""new"", ""read"", ""The"", ""Asylum"", ""by"", ""L.J."", ""Smith"", ""is"", ""getting"", ""some"", ""hype"", "","", ""but"", ""Kevin"", ""Williamson"", ""co-created"", ""it"", "".""]","[[3, 4, ""title""], [6, 7, ""author""], [14, 15, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Honest"", ""Truth"", ""by"", ""Dan"", ""Gemeinhart"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""The"", ""Most"", ""Good"", ""You"", ""Can"", ""Do"", "":"", ""How"", ""Effective"", ""Altruism"", ""Is"", ""Changing"", ""Ideas"", ""About"", ""Living"", ""Ethically"", "","", ""and"", ""wow"", "","", ""Peter"", ""Singer"", ""really"", ""changed"", ""my"", ""view"", "".""]","[[3, 8, ""title""], [23, 24, ""author""]]"
"[""I'm"", ""thinking"", ""about"", ""Identity"", ""Crisis"", ""by"", ""Brad"", ""Meltzer"", ""for"", ""my"", ""next"", ""read"", "".""]","[[3, 4, ""title""], [6, 7, ""author""]]"
"[""I"", ""heard"", ""The"", ""Field"", ""of"", ""Swords"", ""is"", ""epic"", "","", ""written"", ""by"", ""Conn"", ""Iggulden"", "".""]","[[2, 5, ""title""], [11, 12, ""author""]]"
"[""I"", ""just"", ""finished"", ""Discover"", ""the"", ""Power"", ""Within"", ""You"", ""by"", ""Eric"", ""Butterworth"", "","", ""and"", ""wow"", "".""]","[[3, 7, ""title""], [9, 10, ""author""]]"
"[""I'm"", ""torn"", ""between"", ""Scott"", ""Pilgrim"", "","", ""Volume"", ""4"", "":"", ""Scott"", ""Pilgrim"", ""Gets"", ""It"", ""Together"", ""by"", ""Bryan"", ""Lee"", ""O'Malley"", "".""]","[[3, 13, ""title""], [16, 18, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Objectivism"", "":"", ""The"", ""Philosophy"", ""of"", ""Ayn"", ""Rand"", ""by"", ""Leonard"", ""Peikoff""]","[[6, 12, ""title""], [14, 15, ""author""]]"
"[""I've"", ""been"", ""meaning"", ""to"", ""read"", ""Eat"", ""Joy"", "":"", ""Stories"", ""&"", ""Comfort"", ""Food"", ""from"", ""31"", ""Celebrated"", ""Writers"", ""by"", ""Natalie"", ""Eve"", ""Garrett""]","[[5, 15, ""title""], [17, 19, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Rumours"", ""of"", ""the"", ""Marvellous"", ""by"", ""Peter"", ""Atkins"", "".""]","[[6, 9, ""title""], [11, 12, ""author""]]"
"[""Have"", ""you"", ""read"", ""The"", ""Complete"", ""Yes"", ""Minister"", ""?"", ""Jonathan"", ""Lynn"", ""and"", ""Antony"", ""Jay"", ""are"", ""hilarious"", "".""]","[[2, 6, ""title""], [8, 9, ""author""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Water"", ""Will"", ""Catch"", ""You"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 10, ""title""]]"
"[""I"", ""read"", ""Others"", ""by"", ""James"", ""Herbert"", ""last"", ""night"", ""and"", ""it"", ""was"", ""wild"", "".""]","[[2, 2, ""title""], [4, 5, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Ashes"", ""by"", ""Kathryn"", ""Lasky"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 6, ""title""], [9, 10, ""author""]]"
"[""That"", ""book"", ""by"", ""the"", ""guy"", ""who"", ""wrote"", ""The"", ""Assistant"", "","", ""Bernard"", ""Malamud"", "","", ""is"", ""solid"", "".""]","[[7, 9, ""title""], [10, 11, ""author""]]"
"[""I"", ""keep"", ""seeing"", ""Empires"", ""of"", ""the"", ""Monsoon"", "":"", ""A"", ""History"", ""of"", ""the"", ""Indian"", ""Ocean"", ""and"", ""Its"", ""Invaders"", ""on"", ""my"", ""shelf"", "".""]","[[3, 16, ""title""]]"
"[""I"", ""actually"", ""read"", ""Blutbraut"", ""by"", ""Lynn"", ""Raven"", ""and"", ""wow"", "","", ""what"", ""a"", ""mood"", "".""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Beast"", ""That"", ""Shouted"", ""Love"", ""at"", ""the"", ""Heart"", ""of"", ""the"", ""World"", ""by"", ""Harlan"", ""Ellison"", "".""]","[[6, 16, ""title""]]"
"[""I"", ""just"", ""finished"", ""Firehorse"", ""and"", ""wow"", "","", ""Diane"", ""Lee"", ""Wilson"", ""rocketed"", ""my"", ""expectations"", "".""]","[[3, 3, ""title""], [7, 9, ""author""]]"
"[""I"", ""just"", ""finished"", ""Notasi"", ""by"", ""Morra"", ""Quatro"", "","", ""not"", ""gonna"", ""lie"", ""it's"", ""wild""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""Who"", ""wrote"", ""Just"", ""Like"", ""Heaven"", ""again"", ""?"", ""I"", ""think"", ""Pamela"", ""Dean"", ""is"", ""amazing"", "".""]","[[2, 4, ""title""], [9, 10, ""author""]]"
"[""Just"", ""finished"", ""A"", ""Hologram"", ""for"", ""the"", ""King"", ""by"", ""Dave"", ""Eggers"", "","", ""and"", ""it's"", ""wild"", "".""]","[[2, 6, ""title""], [8, 9, ""author""]]"
"[""Currently"", ""reading"", ""Mark"", ""of"", ""the"", ""Raven"", "","", ""and"", ""I"", ""dig"", ""Morgan"", ""L."", ""Busse's"", ""vibe"", "".""]","[[2, 5, ""title""], [10, 12, ""author""]]"
"[""My"", ""friend"", ""wouldn't"", ""stop"", ""talking"", ""about"", ""Fall"", ""River"", ""Dreams"", "":"", ""A"", ""Team's"", ""Quest"", ""for"", ""Glory"", "","", ""A"", ""Town's"", ""Search"", ""for"", ""Its"", ""Soul"", ""by"", ""Bill"", ""Reynolds"", "".""]","[[6, 21, ""title""], [23, 24, ""author""]]"
"[""I"", ""just"", ""finished"", ""The"", ""Act"", ""of"", ""Creation"", ""by"", ""Arthur"", ""Koestler"", ""and"", ""wow"", "","", ""it's"", ""different"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Tree"", ""of"", ""Hands"", ""by"", ""Ruth"", ""Rendell"", "".""]","[[6, 9, ""title""], [11, 12, ""author""]]"
"[""Have"", ""you"", ""read"", ""The"", ""Well"", ""of"", ""Loneliness"", ""yet"", "","", ""or"", ""is"", ""the"", ""intro"", ""by"", ""Esther"", ""Suxey"", ""still"", ""offputting"", ""?""]","[[3, 6, ""title""], [14, 15, ""author""]]"
"[""Just"", ""finished"", ""Batman"", "":"", ""No"", ""Man's"", ""Land"", "","", ""and"", ""wow"", "","", ""Greg"", ""Rucka"", ""really"", ""nails"", ""the"", ""noir"", ""vibe"", "".""]","[[2, 6, ""title""]]"
"[""I"", ""keep"", ""meaning"", ""to"", ""read"", ""A"", ""Company"", ""of"", ""Swans"", "","", ""Eva"", ""Ibbotson"", ""seems"", ""like"", ""a"", ""cozy"", ""pick"", "".""]","[[5, 8, ""title""], [10, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Crueltown"", "":"", ""A"", ""Drew"", ""Steele"", ""Los"", ""Angeles"", ""-"", ""Las"", ""Vegas"", ""Mystery""]","[[6, 16, ""title""]]"
"[""I"", ""keep"", ""hearing"", ""about"", ""The"", ""Redneck"", ""Manifesto"", ""by"", ""Jim"", ""Goad"", "".""]","[[4, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Outcast"", ""by"", ""Kathryn"", ""Lasky"", "".""]","[[6, 7, ""title""]]"
"[""I"", ""started"", ""The"", ""Birchbark"", ""House"", ""on"", ""the"", ""bus"", ""today"", "","", ""Louise"", ""Erdrich"", ""is"", ""amazing"", "".""]","[[2, 4, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Big"", ""Sleep"", ""and"", ""Other"", ""Novels"", "".""]","[[6, 11, ""title""]]"
"[""Honestly"", "","", ""who"", ""wrote"", ""Watch"", ""Over"", ""Me"", ""by"", ""Lucy"", ""Monroe"", ""("", ""Goodreads"", ""Author"", "")"", ""again"", ""?""]","[[4, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""raving"", ""about"", ""Hit"", ""Men"", "":"", ""Power"", ""Brokers"", ""and"", ""Fast"", ""Money"", ""Inside"", ""the"", ""Music"", ""Business""]","[[6, 17, ""title""]]"
"[""That"", ""Amazing"", ""Grace"", ""is"", ""eye"", ""opening"", "","", ""Jonathan"", ""Kozol"", ""does"", ""great"", ""work""]","[[1, 2, ""title""], [7, 8, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Ghost"", ""Town"", ""by"", ""Rachel"", ""Caine"", "".""]","[[6, 7, ""title""], [9, 10, ""author""]]"
"[""Who"", ""wrote"", ""The"", ""Only"", ""Living"", ""Witness"", "":"", ""The"", ""True"", ""Story"", ""of"", ""Serial"", ""Sex"", ""Killer"", ""Ted"", ""Bundy"", ""again"", ""?""]","[[2, 15, ""title""]]"
"[""That"", ""scene"", ""in"", ""Saving"", ""Levi"", "":"", ""Left"", ""to"", ""Die"", ""made"", ""me"", ""rethink"", ""destiny"", "".""]","[[3, 8, ""title""]]"
"[""I"", ""just"", ""finished"", ""Embers"", ""by"", ""S\u00e1ndor"", ""M\u00e1rai"", ""and"", ""Carol"", ""Brown"", ""Janeway"", ""(Translator)"", ""\u2014"", ""amazing"", ""read"", "".""]","[[3, 3, ""title""], [5, 6, ""author""], [8, 10, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Thinner"", ""by"", ""Richard"", ""Bachman"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""I"", ""just"", ""finished"", ""Limits"", ""of"", ""Destiny"", ""by"", ""Sharlyn"", ""G."", ""Branson"", "","", ""and"", ""I'm"", ""curious"", ""if"", ""it's"", ""still"", ""in"", ""print"", "".""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Anubis"", ""Gates"", ""?""]","[[6, 8, ""title""]]"
"[""I"", ""really"", ""love"", ""Jamie"", ""Carie"", "","", ""author"", ""of"", ""Angel's"", ""Den""]","[[8, 9, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Serenad"", ""by"", ""O.Z."", ""Livaneli"", "".""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""Could"", ""you"", ""recommend"", ""The"", ""Laughing"", ""Corpse"", ""from"", ""Laurell"", ""K."", ""Hamilton"", ""?""]","[[3, 5, ""title""], [7, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Inkheart"", ""Movie"", ""Novelization"", "".""]","[[6, 8, ""title""]]"
"[""I"", ""loved"", ""Inkheart"", ""Movie"", ""Novelization"", "","", ""and"", ""Jane"", ""B."", ""Mason"", ""and"", ""Cornelia"", ""Funke"", ""did"", ""a"", ""great"", ""job"", "".""]","[[2, 4, ""title""], [7, 9, ""author""], [11, 12, ""author""]]"
"[""That"", ""Big"", ""and"", ""Bad"", "":"", ""A"", ""Novella"", ""was"", ""wild"", "","", ""Anna"", ""K."", ""Scotti"", ""nailed"", ""the"", ""mood"", "".""]","[[1, 6, ""title""], [10, 12, ""author""]]"
"[""Honestly"", "","", ""Endgame"", ""by"", ""Samuel"", ""Beckett"", ""is"", ""darker"", ""than"", ""I"", ""expected"", "","", ""totally"", ""worth"", ""it"", "".""]","[[2, 2, ""title""], [4, 5, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Corvus"", ""by"", ""L."", ""Lee"", ""Lowe"", "".""]","[[8, 10, ""author""], [6, 6, ""title""]]"
"[""The"", ""Piano"", ""Lesson"", ""is"", ""brilliant"", "","", ""August"", ""Wilson"", ""is"", ""a"", ""genius"", "".""]","[[0, 2, ""title""], [6, 7, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Year"", ""of"", ""the"", ""Rat"", ""by"", ""Grace"", ""Lin"", "".""]","[[6, 10, ""title""], [12, 13, ""author""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""The"", ""Melancholy"", ""of"", ""Haruhi"", ""Suzumiya"", ""by"", ""Nagaru"", ""Tanigawa"", "".""]","[[5, 9, ""title""], [11, 12, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Trafalgar"", ""by"", ""Benito"", ""P\u00e9rez"", ""Gald\u00f3s"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 6, ""title""]]"
"[""Could"", ""you"", ""believe"", ""The"", ""Blade"", ""of"", ""Shattered"", ""Hope"", ""is"", ""by"", ""James"", ""Dashner"", ""("", ""Goodreads"", ""Author"", "")"", ""?""]","[[3, 7, ""title""], [10, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Collector"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 7, ""title""]]"
"[""That"", ""Greek"", ""poetry"", ""vibe"", ""reminds"", ""me"", ""of"", ""\u03a6\u03c5\u03c3\u03ac\u03b5\u03b9"", ""\u03c3\u03c4\u03b1"", ""\u03c3\u03c4\u03b1\u03c5\u03c1\u03bf\u03b4\u03c1\u03cc\u03bc\u03b9\u03b1"", ""\u03c4\u03bf\u03c5"", ""\u03ba\u03cc\u03c3\u03bc\u03bf\u03c5"", ""by"", ""Tasos"", ""Livaditis"", "","", ""has"", ""anyone"", ""read"", ""it"", ""?""]","[[7, 11, ""title""], [13, 14, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Apprentice"", ""by"", ""Pilar"", ""Molina"", ""Llorente"", "","", ""and"", ""I'm"", ""curious"", "".""]","[[6, 6, ""title""], [8, 10, ""author""]]"
"[""I"", ""just"", ""finished"", ""Traplines"", ""by"", ""Eden"", ""Robinson"", ""on"", ""the"", ""bus"", "".""]","[[3, 3, ""title""], [5, 6, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""NARUTO"", ""-\u30ca\u30eb\u30c8-"", ""\u5dfb\u30ce\u56db\u5341\u4e09"", "","", ""it's"", ""insane"", "".""]","[[6, 8, ""title""]]"
"[""Who"", ""wrote"", ""The"", ""Door"", ""again"", ""?""]","[[2, 3, ""title""]]"
"[""I'm"", ""thinking"", ""of"", ""picking"", ""up"", ""Incendiary"", ""by"", ""Amy"", ""A."", ""Bartol"", ""(Goodreads"", ""Author)"", ""tonight"", "".""]","[[5, 5, ""title""], [7, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Evolution"", ""for"", ""Everyone"", ""and"", ""what"", ""it"", ""says"", ""about"", ""life"", "".""]","[[6, 8, ""title""]]"
"[""I"", ""heard"", ""The"", ""Beach"", ""House"", ""by"", ""James"", ""Patterson"", "","", ""Peter"", ""de"", ""Jonge"", ""is"", ""a"", ""quick"", ""read"", "".""]","[[2, 4, ""title""], [6, 7, ""author""], [9, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Defy"", ""The"", ""Eagle"", "","", ""is"", ""it"", ""any"", ""good"", ""?""]","[[6, 8, ""title""]]"
"[""I"", ""just"", ""finished"", ""Armouron"", "":"", ""Prisoner"", ""on"", ""Kasteesh"", ""last"", ""night"", "","", ""and"", ""wow"", "","", ""Richard"", ""Dungworth"", ""wrote"", ""it"", ""?""]","[[3, 7, ""title""], [14, 15, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Ramage"", ""by"", ""Dudley"", ""Pope"", "".""]","[[6, 6, ""title""], [8, 9, ""author""]]"
"[""Have"", ""you"", ""read"", ""The"", ""Red"", ""Scrolls"", ""of"", ""Magic"", ""?"", ""Cassandra"", ""Clare"", ""and"", ""Wesley"", ""Chu"", ""are"", ""authors"", ""I"", ""think"", "".""]","[[3, 7, ""title""], [9, 10, ""author""], [12, 13, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""The"", ""Isis"", ""Covenant"", "".""]","[[6, 8, ""title""]]"
"[""Who"", ""wrote"", ""Dragons"", ""of"", ""the"", ""Valley"", ""again"", ""?""]","[[2, 5, ""title""]]"
"[""I'm"", ""thinking"", ""of"", ""picking"", ""up"", ""The"", ""Dhammapada"", ""after"", ""that"", ""chat"", ""with"", ""my"", ""meditation"", ""group"", ""."", """"]","[[5, 6, ""title""]]"
"[""Do"", ""you"", ""know"", ""who"", ""wrote"", ""Eternal"", ""Darkness"", "","", ""Blood"", ""King"", ""?""]","[[5, 9, ""title""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Talisman"", ""Of"", ""El"", ""by"", ""Al"", ""Stone"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
"[""I"", ""just"", ""finished"", ""In\u00e9s"", ""of"", ""My"", ""Soul"", ""by"", ""Isabel"", ""Allende"", "".""]","[[3, 6, ""title""], [8, 9, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Bobby"", ""Fischer"", ""Goes"", ""to"", ""War"", "":"", ""How"", ""the"", ""Soviets"", ""Lost"", ""the"", ""Most"", ""Extraordinary"", ""Chess"", ""Match"", ""of"", ""All"", ""Time"", ""by"", ""David"", ""Edmonds"", ""("", ""Goodreads"", ""Author"", ""),"", ""John"", ""Eidinow"", ""("", ""Goodreads"", ""Author"", "")""]","[[6, 23, ""title""], [25, 26, ""author""], [32, 33, ""author""]]"
"[""Honestly"", "","", ""The"", ""Death"", ""of"", ""Vishnu"", ""is"", ""one"", ""of"", ""my"", ""favorites"", ""by"", ""Manil"", ""Suri"", "".""]","[[2, 5, ""title""], [12, 13, ""author""]]"
"[""I'm"", ""finishing"", ""In"", ""My"", ""Skin"", "":"", ""A"", ""Memoir"", ""and"", ""wow"", ""Kate"", ""Holden"", ""writes"", ""so"", ""honestly"", "".""]","[[2, 7, ""title""]]"
"[""You"", ""should"", ""totally"", ""check"", ""out"", ""Call"", ""Down"", ""the"", ""Hawk"", ""by"", ""Maggie"", ""Stiefvater"", "","", ""she"", ""s"", ""great"", "".""]","[[5, 9, ""title""], [10, 11, ""author""]]"
"[""My"", ""friend"", ""won't"", ""stop"", ""talking"", ""about"", ""Heir"", ""to"", ""Edenbrooke"", ""by"", ""Julianne"", ""Donaldson"", "".""]","[[6, 8, ""title""], [10, 11, ""author""]]"
